parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-57-03-52-000,924 HARVEY ST,"$5,700.00",2,1901,3,1,0,1320,YES,600
81-57-03-54-000,HARVEY ST,$500.00,,,,,,,,
81-57-03-59-000,935 MARIETTA ST,"$2,100.00",,,,,,,,
81-57-03-62-000,951 MARIETTA ST,"$2,100.00",,,,,,,,
81-57-03-66-000,973 MARIETTA ST,"$1,400.00",,,,,,,,
81-57-03-78-000,1017 MARIETTA ST,$800.00,,,,,,,,
81-57-03-87-000,1045 MARIETTA ST,,,,,,,,,
81-55-01-37-000,NOT ON FILE,"$3,100.00",,,,,,,,
81-56-01-01-000,109 GREEN ST,"$15,000.00",,,,,,,,
81-56-01-03-000,GLESSNER AVE,"$1,900.00",,,,,,,,
