parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-06-02-33-000,915 MOXAHALA AVE,"$22,500.00",2,1901,4,1,0,1884,YES,711
81-07-01-03-000,1010 MOXAHALA AVE,"$20,050.00",2,1901,2,2,0,1396,YES,256
81-05-03-11-000,838 PUTNAM AVE,"$19,300.00",,,,,,,,
81-05-03-12-000,844 PUTNAM AVE,"$14,000.00",2,1901,4,1,1,2063,YES,468
81-05-03-29-000,825 MOXAHALA AVE,"$21,900.00",1.5,1901,2,1,0,1092,YES,466
81-05-03-30-000,823 MOXAHALA AVE,"$27,100.00",,,,,,,,
81-06-01-08-000,MOXAHALA AVE,"$3,500.00",,,,,,,,
81-06-01-09-000,916 MOXAHALA AVE,"$3,500.00",,,,,,,,
81-06-01-10-000,920 MOXAHALA AVE,"$3,500.00",,,,,,,,
81-06-01-15-000,944 MOXAHALA AVE,"$3,500.00",,,,,,,,
