parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-16-01-24-000,728 WOODLAWN AVE,"$22,940.00",1,1901,3,1,0,864,YES,864
81-16-02-01-000,807 PUTNAM AVE,"$40,000.00",,,,,,,,
81-16-02-11-000,820 WOODLAWN AVE,"$12,300.00",1,1901,1,1,0,818,YES,409
81-16-02-13-000,824 WOODLAWN AVE,"$18,400.00",2,1901,1,1,0,1376,YES,304
81-16-02-16-000,842 WOODLAWN AVE,"$2,500.00",,,,,,,,
81-16-02-17-000,843 PUTNAM AVE,"$13,500.00",,,,,,,,
81-16-02-19-000,833 PUTNAM AVE,"$2,200.00",,,,,,,,
81-16-02-20-000,843 PUTNAM AVE,"$66,000.00",,,,,,,,
81-16-02-22-000,819 PUTNAM AVE,"$71,700.00",,,,,,,,
81-17-01-04-000,MADISON ST,"$2,500.00",,,,,,,,
