parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-42-01-09-001,1228 SELSAM AVE,"$6,400.00",,,,,,,,
81-42-01-13-000,1144 SELSAM AVE,"$30,200.00",1,1901,3,1,0,832,YES,832
81-43-01-01-000,510 SCHWALLIE AVE,"$47,500.00",2,1910,3,1,0,1296,YES,816
81-43-01-03-000,535 SCHWALLIE AVE,"$71,700.00",1.5,1930,4,1,0,2016,YES,1008
81-45-01-04-001,328 WHITE OAK AVE,"$86,900.00",1,2005,3,2,0,1144,NO,0
81-45-01-12-000,420 WHITE OAK AVE,"$65,400.00",2,1890,2,1,0,1692,YES,354
81-45-01-13-000,424 WHITE OAK AVE,"$51,400.00",1,1951,2,1,0,852,YES,852
81-45-01-17-000,450 WHITE OAK AVE,"$62,800.00",1,1951,2,1,0,1016,YES,1016
81-45-01-20-000,WHITE OAK AVE,"$1,400.00",,,,,,,,
81-46-01-01-000,1530 SHARON AVE,"$57,200.00",1,1926,3,1,0,1412,YES,1412
