parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-59-01-03-000,1256 WHEELING AVE,"$48,300.00",2,1910,4,1,0,1956,YES,950
81-59-01-09-000,1232 WHEELING AVE,"$50,400.00",1,1910,3,1,0,1340,YES,1308
81-59-01-12-000,16 GLESSNER AVE,"$36,200.00",1,1918,2,1,0,870,YES,780
81-59-01-17-000,1221 SWINGLE ST,"$1,100.00",,,,,,,,
81-59-02-01-000,COR OF GREEN AND SWI,"$3,700.00",,,,,,,,
81-59-03-01-000,WHEELING AVE,"$26,000.00",,,,,,,,
81-59-03-04-000,47 GLESSNER AVE,"$9,800.00",1.5,1901,2,1,0,1152,YES,240
81-59-03-06-000,33 GLESSNER AVE,"$13,700.00",1,1901,2,1,0,832,YES,832
81-59-03-25-000,1126 WHEELING AVE,"$10,600.00",1,1890,2,1,0,512,YES,632
81-59-03-26-000,1120 WHEELING AVE,"$26,200.00",1,1890,3,1,0,1288,YES,1288
