parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-55-01-12-000,259 HARRIS RD,"$32,500.00",1,1901,2,1,0,1305,YES,180
81-55-01-13-001,237 HARRIS RD,"$28,200.00",1,1901,3,1,0,794,YES,794
81-54-01-01-001,SHARON REAR AVE,$100.00,,,,,,,,
81-54-01-05-000,1435 SHARON AVE,"$49,400.00",1.5,1924,2,1,1,1552,YES,824
81-54-01-16-000,SHARON AVE,"$3,800.00",,,,,,,,
81-54-01-21-000,1327 SHARON AVE,"$75,400.00",2,1890,3,2,0,2384,YES,506
81-54-01-24-000,1313 SHARON AVE,"$93,200.00",,,,,,,,
81-54-02-14-000,1329 STONE ST,$400.00,,,,,,,,
81-54-02-19-000,CHARLES ST,"$1,500.00",,,,,,,,
81-55-01-06-000,150 GREEN ST,"$39,400.00",1,1964,2,1,0,816,YES,816
