parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-42-01-03-000,1272 SELSAM ST,"$35,700.00",1,1901,1,1,0,720,YES,360
81-42-01-05-000,1240 SELSAM ST,"$51,400.00",1,1954,3,1,0,899,YES,899
81-43-01-02-000,509 SCHWALLIE AVE,$0.00,1,1998,3,2,0,2052,YES,2052
81-43-01-04-000,1411 SUNRISE AVE,"$34,900.00",1,1948,2,1,0,800,YES,800
81-43-01-09-000,510 HAESSLER AVE,"$55,300.00",1,1992,2,2,0,1344,YES,1344
81-43-02-03-000,529 HAESSLER AVE,"$29,200.00",1,1937,2,1,0,728,YES,728
81-43-02-05-000,555 HAESSLER AVE,"$14,200.00",1,1901,2,1,0,756,YES,105
81-43-03-02-000,1415 SUNRISE AVE,"$27,400.00",1,1900,2,1,0,924,NO,0
81-43-03-03-000,1415 SUNRISE AVE,"$3,300.00",,,,,,,,
81-43-03-04-000,1390 SUNRISE AVE,"$15,600.00",1,1940,2,1,0,704,NO,0
