parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-02-02-06-000,17 JEFFERSON ST,"$80,170.00",,,,,,,,
81-02-03-03-000,446 PUTNAM AVE,"$94,100.00",2,1880,4,4,0,4336,YES,2168
81-02-03-04-000,PUTNAM AVE,"$2,200.00",,,,,,,,
81-02-03-08-000,JEFFERSON ST,"$2,900.00",,,,,,,,
81-02-03-12-000,443 MOXAHALA AVE,"$18,000.00",2,1901,5,1,0,2084,YES,496
81-02-03-13-000,439 MOXAHALA AVE,"$23,300.00",2,1898,4,1,0,1832,YES,916
81-02-03-14-000,433 MOXAHALA AVE,"$58,600.00",2,1845,6,4,0,3268,YES,1499
81-02-04-03-000,118 JEFFERSON ST,"$27,200.00",2,1901,2,1,0,2010,YES,1005
81-02-04-04-000,504 PUTNAM AVE,"$73,600.00",2,1845,8,4,0,4287,YES,2192
81-02-04-11-000,556 PUTNAM AVE,"$11,640.00",2,1901,6,2,0,4206,YES,2001
