parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-62-05-09-000,8TH ST,"$3,300.00",,,,,,,,
81-63-01-15-000,736 FOUNTAIN SQ,"$12,300.00",2,1900,6,2,2,3200,YES,1500
81-63-01-16-000,730 FOUNTAIN SQ,"$17,600.00",2,1900,4,1,0,2412,YES,1206
81-63-01-22-000,28 N 7TH ST,"$76,100.00",,,,,,,,
81-63-01-23-000,26 N 7TH ST,"$66,500.00",,,,,,,,
81-63-02-04-000,26 6TH ST N,"$148,500.00",,,,,,,,
81-63-02-13-000,627 MAIN ST,"$35,340.00",,,,,,,,
81-63-02-23-000,29 7TH ST N,"$8,200.00",,,,,,,,
81-58-02-51-000,SILLIMAN ST,"$1,100.00",,,,,,,,
81-58-03-03-001,E MAIN ST,"$20,100.00",,,,,,,,
