parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-09-05-15-000,1445 MOXAHALA AVE,"$54,500.00",1,1956,3,1,0,1024,YES,336
81-09-06-04-000,1510 MOXAHALA AVE,"$2,600.00",,,,,,,,
81-09-06-08-000,CITY HALL,$500.00,,,,,,,,
81-10-01-01-000,1510 MOXAHALA AVE,"$280,900.00",,,,,,,,
81-10-02-04-000,1503 MOXAHALA AVE,"$120,700.00",,,,,,,,
81-10-02-12-000,MOXAHALA AVE,"$4,900.00",,,,,,,,
81-10-03-08-000,PUTNAM AVE,$500.00,,,,,,,,
81-10-03-09-000,1529 PUTNAM AVE,"$17,300.00",2.5,1901,3,1,0,1516,YES,544
81-10-03-16-000,1541 PUTNAM AVE,"$1,800.00",,,,,,,,
81-10-03-17-000,1553 PUTNAM AVE,"$4,600.00",,,,,,,,
