parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-07-02-14-000,1054 PUTNAM AVE,"$11,900.00",1,1901,2,1,0,732,YES,366
81-07-02-18-000,1067 MOXAHALA AVE,"$19,200.00",2,1901,3,1,0,1232,YES,140
81-07-02-27-000,1013 MOXAHALA AVE,"$31,700.00",2,1901,3,1,0,1475,YES,433
81-07-03-05-000,1057 PUTNAM AVE,"$10,500.00",2,1901,3,1,1,1608,YES,402
81-07-03-06-000,1061 PUTNAM AVE,"$22,400.00",2,1901,3,1,0,1540,YES,385
81-07-03-07-001,1065 PUTNAM AVE,"$29,200.00",2,1901,3,2,0,1528,YES,288
81-07-03-09-000,223 LINCOLN ST,"$25,100.00",2,1901,3,1,0,1160,YES,340
81-07-03-13-000,1022 WOODLAWN AVE,"$36,600.00",2,1901,3,1,0,1480,YES,361
81-08-01-01-000,1107 MUSKINGUM AVE,"$277,000.00",,,,,,,,
81-08-01-06-000,30 LINCOLN ST,"$1,600.00",,,,,,,,
