parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-46-03-08-000,1503 WHEELER RD,"$38,700.00",,,,,,,,
81-46-03-11-001,1494 WHEELER RD,"$126,100.00",2,1860,4,1,0,2856,YES,1032
81-46-03-13-000,FREEBORN AVE,$400.00,,,,,,,,
81-46-03-21-000,BOWMAN ST,"$10,500.00",,,,,,,,
81-46-03-22-000,1429 BOWMAN ST,"$36,310.00",1,1995,1,1,0,720,YES,720
81-46-03-23-000,369 FREEBORN AVE,"$21,800.00",1,1885,2,1,0,956,NO,0
81-47-01-04-000,SCHWALLE AVE,"$3,500.00",,,,,,,,
81-47-01-06-000,450 SCHWALLIE AVE,"$31,400.00",1,1901,2,1,0,784,YES,784
81-47-01-16-000,SCHWALLIE AVE,$300.00,,,,,,,,
81-47-02-01-000,1362 WHEELER RD,"$57,100.00",1,1990,3,1,0,1200,NO,0
