parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-35-01-11-000,1214 DILLON RD,"$62,230.00",1,1920,3,1,0,1210,YES,605
81-36-01-01-000,DILLON RD,"$4,720.00",,,,,,,,
81-36-01-05-000,DILLON RD,$300.00,,,,,,,,
81-37-01-01-000,SCHWALLIE AVE,$300.00,,,,,,,,
81-37-01-02-000,1452 SUNRISE REAR AVE,"$9,500.00",1,1901,2,1,0,702,YES,351
81-37-01-05-000,1410 COSGRAVE AVE,"$98,000.00",1,1993,3,2,0,1456,YES,1456
81-40-01-03-000,WAYNE AVE,$800.00,,,,,,,,
81-40-02-06-000,548 WAYNE AVE,"$59,860.00",2,1900,2,1,0,1374,YES,528
81-40-03-06-000,WAYNE AVE,"$1,300.00",,,,,,,,
81-40-03-07-000,WAYNE AVE,"$1,400.00",,,,,,,,
