parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-07-01-14-000,1052 MOXAHALA AVE,"$2,800.00",,,,,,,,
81-07-01-18-000,1066 MOXAHALA AVE,"$16,600.00",2,1901,3,1,0,1316,YES,308
81-07-01-19-000,1068 MOXAHALA AVE,"$16,100.00",2,1901,3,1,0,1408,YES,352
81-07-01-22-000,MUSKINGUM AVE,"$2,500.00",,,,,,,,
81-07-01-23-000,MUSKINGUM AVE,"$2,500.00",,,,,,,,
81-07-01-26-000,1043 MUSKINGUM AVE,"$180,700.00",,,,,,,,
81-07-01-28-000,1031 MUSKINGUM AVE,"$20,000.00",1,1901,2,1,0,779,YES,389
81-07-02-04-000,1010 PUTNAM AVE,"$20,000.00",1,1901,4,2,0,1064,YES,532
81-07-02-07-000,1026 PUTNAM AVE,"$17,400.00",2,1901,4,1,0,1476,YES,369
81-07-02-13-000,1052 PUTNAM AVE,"$15,000.00",2,1901,2,1,0,1240,YES,240
