parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-44-04-12-000,1504 EASTVIEW AVE,"$1,100.00",,,,,,,,
81-44-05-01-000,627 DOWNARD RD,$300.00,,,,,,,,
81-44-05-06-000,611 DOWNARD RD,"$1,900.00",,,,,,,,
81-44-05-11-000,1612 BENNETT AVE,$900.00,,,,,,,,
81-44-05-15-000,BENNETT AVE,$500.00,,,,,,,,
81-44-05-16-000,BENNETT AVE,$100.00,,,,,,,,
81-45-01-03-000,1614 SHARON AVE,"$47,600.00",1,1901,2,1,0,872,YES,872
81-45-01-06-000,356 WHITE OAK AVE,"$42,100.00",1,1901,3,1,0,936,YES,468
81-45-01-15-000,450 WHITE OAK AVE,"$1,700.00",,,,,,,,
81-45-01-23-000,480 WHITE OAK AVE,"$46,700.00",1,1926,2,1,0,672,YES,672
