parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-07-01-30-000,1023 MUSKINGUM AVE,"$22,300.00",2,1901,2,1,0,1216,YES,512
81-07-01-32-000,1011 MUSKINGUM AVE,"$14,100.00",2,1901,2,1,0,1105,YES,256
81-07-01-34-000,1001 MUSKINGUM AVE,"$27,100.00",2,1901,3,1,0,1216,YES,496
81-07-02-01-000,1003 MOXAHALA AVE,"$41,100.00",2,1901,3,1,0,1880,YES,400
81-07-02-11-000,1040 PUTNAM AVE,"$26,000.00",2,1901,3,1,0,1176,YES,504
81-07-02-12-000,1048 PUTNAM AVE,"$18,700.00",2,1901,3,1,0,1576,YES,788
81-07-02-15-000,1058 PUTNAM AVE,"$41,700.00",1,1901,3,1,0,926,YES,463
81-07-02-16-000,1064 PUTNAM AVE,"$3,800.00",,,,,,,,
81-07-02-17-000,1070 PUTNAM AVE,"$24,200.00",1,1901,4,1,0,1285,YES,642
81-07-02-28-000,1009 MOXAHALA AVE,"$25,200.00",1,1901,3,1,0,1282,YES,551
