parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-49-01-10-000,FISHER LN,$800.00,,,,,,,,
81-49-01-12-000,379 FISHERS LN,$700.00,,,,,,,,
81-50-98-01-000,401 WAYNE AVE,"$77,900.00",2,1916,4,1,1,1742,YES,992
81-50-98-04-000,409 WAYNE AVE,"$70,200.00",2,1901,4,2,0,1908,YES,1236
81-50-98-05-000,413 WAYNE AVE,$900.00,,,,,,,,
81-50-98-06-000,417 WAYNE AVE,"$70,900.00",2,1910,5,2,0,2700,YES,675
81-50-98-07-000,415 WAYNE AVE,$200.00,,,,,,,,
81-50-98-08-000,419 WAYNE AVE,"$1,900.00",,,,,,,,
81-50-98-10-000,427 WAYNE AVE,"$67,000.00",1.5,1865,3,2,1,1699,YES,672
81-50-98-13-000,WAYNE AVE,$500.00,,,,,,,,
