parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-19-03-13-000,349 WOODLAWN AVE,"$39,800.00",2,1901,6,3,0,3224,YES,806
81-19-03-14-000,353 WOODLAWN AVE,"$23,600.00",2,1901,3,1,1,2084,YES,510
81-19-04-07-000,328 ADAMS ST,"$1,600.00",,,,,,,,
81-19-04-08-000,411 WOODLAWN AVE,"$42,900.00",2,1901,4,2,0,1972,YES,493
81-19-05-01-000,218 ADAMS ST,"$169,200.00",,,,,,,,
81-19-05-03-000,228 ADAMS ST,"$36,500.00",2,1835,3,1,0,2016,YES,1008
81-19-05-05-000,416 WOODLAWN AVE,"$21,900.00",2,1901,3,1,0,1456,YES,728
81-20-01-03-003,MUSKINGUM AVE,"$9,200.00",,,,,,,,
81-20-01-03-004,NOT ON FILE,"$136,200.00",2,1953,2,2,0,2018,NO,0
81-20-02-04-001,MUSKINGUM AVE,"$2,300.00",,,,,,,,
