parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-45-01-10-000,408 WHITE OAK AVE,"$51,400.00",1,1915,3,2,0,882,YES,882
81-45-01-14-000,430 WHITE OAK AVE,"$59,500.00",1,1918,2,1,0,936,YES,936
81-45-01-18-000,454 WHITE OAK AVE,"$53,900.00",1,1950,2,1,0,996,YES,996
81-45-01-19-000,460 WHITE OAK AVE,"$44,000.00",1,1950,2,1,0,996,YES,996
81-46-01-11-000,338 JORDAN AVE,"$34,500.00",1,1935,2,1,0,660,YES,660
81-46-01-22-000,331 WHITE OAK AVE,"$46,800.00",1,1956,2,1,0,832,YES,832
81-46-01-24-000,319 WHITE OAK ST,"$1,000.00",,,,,,,,
81-46-02-01-000,1452 SHARON AVE,"$71,200.00",1.5,1935,2,2,0,1680,YES,840
81-46-02-08-000,337 JORDAN AVE,$100.00,,,,,,,,
81-46-03-10-000,469 WHITE OAK AVE,"$97,700.00",2,1950,5,2,0,5300,NO,0
