parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-09-04-22-000,1405 PUTNAM AVE,"$15,900.00",1,1901,2,1,0,964,YES,824
81-09-05-03-000,110 ONTARIO ST,"$33,500.00",2,1901,3,1,0,1280,YES,630
81-09-05-06-000,120 ONTARIO ST,"$16,800.00",2,1901,3,1,0,1260,YES,630
81-09-05-11-000,1446 PUTNAM AVE,"$2,800.00",,,,,,,,
81-09-06-01-000,MOXAHALA AVE,"$3,600.00",,,,,,,,
81-09-06-06-000,CITY HALL,"$2,300.00",,,,,,,,
81-09-06-07-000,CITY HALL,"$2,600.00",,,,,,,,
81-10-02-03-000,1512 PUTNAM AVE,"$16,300.00",2,1901,2,1,0,1340,YES,512
81-10-02-07-000,MOXAHALA AVE,"$4,900.00",,,,,,,,
81-10-02-11-000,MOXAHALA AVE,"$4,900.00",,,,,,,,
