parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-57-03-53-000,HARVEY ST,$500.00,,,,,,,,
81-57-03-60-000,941 MARIETTA ST,"$1,000.00",,,,,,,,
81-57-03-61-000,947 MARIETTA ST,"$1,000.00",,,,,,,,
81-57-03-69-000,987 MARIETTA ST,"$41,500.00",2,1901,3,1,0,1912,YES,924
81-57-03-70-000,MARIETTA ST,"$2,300.00",,,,,,,,
81-57-03-72-000,991 -993 MARIETTA ST,"$11,300.00",2,1865,4,1,0,2376,YES,1056
81-57-03-89-000,MARIETTA ST,$800.00,,,,,,,,
81-58-01-01-000,1074 WHEELING AVE,"$4,500.00",1,1890,2,1,0,976,YES,368
81-58-01-09-000,1040 WHEELING AVE,"$31,700.00",2,1901,3,1,0,1456,YES,728
81-58-01-11-000,1028 WHEELING AVE,"$24,000.00",2,1910,4,1,0,2176,YES,1088
