parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-58-02-02-000,1008 WHEELING AVE,"$2,700.00",,,,,,,,
81-57-01-01-000,HILL ST,"$1,500.00",,,,,,,,
81-57-01-26-000,HARVEY ST,"$1,800.00",,,,,,,,
81-57-02-02-000,HARVEY ST,"$52,300.00",,,,,,,,
81-57-02-04-000,HARVEY ST,"$4,300.00",,,,,,,,
81-57-02-07-000,HARVEY ST,"$2,900.00",,,,,,,,
81-57-03-07-000,1054 HARVEY ST,$900.00,,,,,,,,
81-57-03-07-001,DRAKE ST,,,,,,,,,
81-57-03-10-000,DRAKE ST,,,,,,,,,
81-57-03-11-000,DRAKE ST,$400.00,,,,,,,,
