parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-02-04-20-000,513 MOXAHALA AVE,"$45,000.00",2,1810,4,2,0,3232,YES,968
81-02-05-10-000,554 MOXAHALA AVE,"$9,000.00",,,,,,,,
81-02-05-13-000,27 MADISON ST,"$24,900.00",2,1901,5,1,0,1876,YES,724
81-02-05-18-000,MUSKINGUM AVE,"$2,700.00",,,,,,,,
81-02-05-19-000,MUSKINGUM AVE,$200.00,,,,,,,,
81-02-05-21-000,MUSKINGUM AVE,"$3,500.00",,,,,,,,
81-02-05-28-000,MUSKINGUM AVE,"$39,100.00",,,,,,,,
81-02-04-16-000,535 MOXAHALA AVE,"$3,800.00",,,,,,,,
81-02-05-03-000,514 MOXAHALA AVE,"$2,900.00",,,,,,,,
81-02-05-05-000,524 MOXAHALA AVE,"$3,700.00",,,,,,,,
