parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-44-01-09-000,575 DOWNARD RD,$800.00,,,,,,,,
81-44-03-01-000,1556 BENNETT AVE,"$90,800.00",1,2001,3,1,0,1144,YES,1144
81-44-04-05-000,EASTVIEW AVE,"$1,100.00",,,,,,,,
81-44-04-06-000,EASTVIEW AVE,"$1,100.00",,,,,,,,
81-44-04-07-000,1530 EASTVIEW AVE,"$63,900.00",2,1948,4,2,0,2441,NO,0
81-44-04-14-000,1498 EASTVIEW AVE,"$52,800.00",1,1960,3,1,0,960,YES,480
81-44-05-09-000,1612 BENNETT AVE,"$28,900.00",1,1901,3,1,0,1538,YES,843
81-44-05-10-000,1612 BENNETT AVE,"$1,100.00",,,,,,,,
81-44-05-13-000,BENNETT AVE,$200.00,,,,,,,,
81-20-03-01-000,210 WOODLAWN AVE,"$50,400.00",2,1901,4,2,0,2224,YES,536
