parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-61-02-07-000,WHATON AL,"$18,900.00",,,,,,,,
81-61-02-09-000,8TH ST,$700.00,,,,,,,,
81-61-02-10-000,HUGHES ST,"$1,500.00",,,,,,,,
81-61-02-14-000,228 7TH ST,"$1,600.00",,,,,,,,
81-61-02-15-000,226 7TH ST,"$2,900.00",,,,,,,,
81-62-01-02-000,106 8TH ST,"$4,500.00",,,,,,,,
81-62-01-04-000,128 8TH ST S,"$6,100.00",2,1901,3,1,0,1498,YES,728
81-62-01-05-000,126 S 8TH ST,"$3,300.00",,,,,,,,
81-62-01-07-000,134 8TH ST,"$1,100.00",,,,,,,,
81-62-01-07-001,132 8TH ST,"$1,100.00",,,,,,,,
