parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-28-02-02-002,1072 WAYNE AVE,"$88,100.00",1,2002,2,1,0,1392,YES,1008
81-29-01-01-000,ARCADIA LN,"$2,990.00",,,,,,,,
81-29-01-02-000,1025 ARCADIA LN,"$8,700.00",,,,,,,,
81-32-01-01-000,1000 S CALVERT RD,"$27,700.00",1,1940,3,0,1,816,YES,816
81-33-01-03-000,938 WAYNE AVE,"$2,300.00",,,,,,,,
81-33-01-07-000,960 WAYNE AVE,"$136,700.00",1,1970,4,2,1,2256,YES,1128
81-34-01-04-000,752 WAYNE AVE,"$60,500.00",2.5,1870,4,1,1,1940,YES,444
81-34-02-01-000,DILLON RD,"$1,690.00",,,,,,,,
81-34-02-02-000,DILLON RD,$730.00,,,,,,,,
81-34-02-06-000,820 WAYNE AVE,$810.00,,,,,,,,
