parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
17-76-02-04-000,ADAMS LN,"$1,419,600.00",2,2011,4,4,0,2838,NO,0
17-78-04-10-002,1426 NEWARK RD,"$7,043,200.00",,,,,,,,
44-52-01-04-004,SHEFFIELD & NORTHPOINTE,"$236,420.00",,,,,,,,
44-52-01-04-008,SHEFFIELD,$0.00,,,,,,,,
44-52-01-21-550,5364 E SHEFFIELD CIR,"$184,200.00",1,2008,3,2,1,1395,NO,0
44-52-01-24-550,5369 W SHEFFIELD CIR,"$188,400.00",1,2008,3,2,0,1869,NO,0
17-19-03-53-000,1463 COLBURN DR,"$213,300.00",2,2000,4,2,1,2400,YES,1232
17-19-03-56-000,1378 DONOVAN WAY,"$219,100.00",1,2007,4,3,0,1972,YES,1972
17-19-03-57-000,1372 DONOVAN WAY,"$246,300.00",2,2004,4,2,1,2912,YES,1652
17-19-03-66-000,1361 COLBURN DR,"$212,000.00",1,2003,3,3,0,1872,YES,1872
