parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-16-02-18-000,841 PUTNAM AVE,"$30,100.00",2,1901,5,3,0,2062,YES,996
81-17-01-02-000,227 MADISON ST,"$10,700.00",2,1901,3,1,0,1536,YES,384
81-17-03-03-700,608 WOODLAWN AVE,"$1,800.00",,,,,,,,
81-17-03-07-000,632 WOODLAWN AVE,"$2,300.00",,,,,,,,
81-17-03-10-000,WOODLAWN AVE,"$1,900.00",,,,,,,,
81-17-03-12-000,WOODLAWN AVE,"$1,900.00",,,,,,,,
81-17-03-13-000,656 WOODLAWN AVE,"$8,000.00",2,1901,4,1,0,1204,YES,224
81-17-03-14-000,664 WOODLAWN AVE,"$1,600.00",,,,,,,,
81-17-03-18-000,217 VAN BUREN ST,"$12,300.00",2,1901,6,2,0,2496,YES,1248
81-17-03-23-000,647 PUTNAM AVE,"$78,200.00",,,,,,,,
