parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-56-03-04-000,MOORE ST,$700.00,,,,,,,,
81-56-03-08-000,MOORE ST,"$2,000.00",,,,,,,,
81-56-03-15-000,1103 MARIETTA ST,$600.00,,,,,,,,
81-56-03-16-000,115 13TH ST,$100.00,,,,,,,,
81-56-03-21-000,MARIETTA ST,$400.00,,,,,,,,
81-56-03-30-000,121 GLESSNER AVE,"$24,800.00",1,1901,2,1,0,1180,YES,982
81-56-03-31-000,115 GLESSNER ST,"$36,200.00",1,1901,3,1,0,1427,YES,512
81-56-03-32-000,115 GLESSNER AVE,"$1,500.00",,,,,,,,
81-56-03-33-000,103 GLESSNER AVE,"$55,000.00",1,1987,3,1,1,960,YES,960
81-57-01-06-000,HILL ST,"$1,000.00",,,,,,,,
