parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-37-01-11-000,1283 DILLON RD,"$70,100.00",1,2006,3,2,0,1404,NO,0
81-38-01-01-000,1148 SELSAM ST,"$51,500.00",1,1908,2,1,0,1148,YES,784
81-38-01-02-000,1206 SELSAM AVE,"$71,700.00",1,1901,3,1,0,1152,YES,576
81-38-01-02-001,CALVERT ST,$100.00,,,,,,,,
81-39-01-01-000,706 WAYNE AVE,"$31,100.00",1,1930,3,1,0,924,YES,994
81-39-01-02-000,WAYNE AVE,$200.00,,,,,,,,
81-40-01-01-000,638 WAYNE AVE,$600.00,,,,,,,,
81-40-01-07-000,WAYNE AVE,"$1,600.00",,,,,,,,
81-40-01-08-000,WAYNE AVE,"$5,000.00",,,,,,,,
81-46-01-17-000,363 WHITE OAK AVE,"$1,000.00",,,,,,,,
