parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-08-05-22-000,1227 MOXAHALA AVE,"$24,700.00",2,1901,3,1,0,1380,YES,210
81-08-05-24-000,1215 MOXAHALA AVE,"$44,300.00",2,1901,3,1,0,1816,YES,737
81-08-06-03-000,18 JOHNSON ST,"$10,800.00",1,1901,2,1,0,686,YES,343
81-08-06-08-000,1226 MOXAHALA AVE,"$36,500.00",2,1901,3,1,0,1232,YES,756
81-08-06-09-000,1232 MOXAHALA AVE,"$37,100.00",1,1901,2,1,0,936,YES,468
81-08-06-10-000,1242 MOXAHALA AVE,"$32,600.00",1,1935,2,1,0,804,YES,792
81-08-06-16-000,1221 MUSKINGUM AVE,"$2,400.00",,,,,,,,
81-08-05-23-000,MOXAHALA AVE,"$15,900.00",,,,,,,,
81-08-05-26-000,1209 MOXAHALA AVE,"$15,700.00",1,1940,1,1,0,576,YES,288
81-08-06-06-000,1218 MOXAHALA AVE,"$44,700.00",2,1901,3,1,0,2228,YES,512
