parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-20-01-05-000,MUSKINGUM AVE,"$14,500.00",,,,,,,,
81-20-01-07-000,252 MUSKINGUM AVE,"$13,600.00",,,,,,,,
81-21-01-12-000,MOXAHALA AVE,$400.00,,,,,,,,
81-21-01-16-000,MOXAHALA AVE,"$5,200.00",,,,,,,,
81-22-01-02-000,1246 WAYNE AVE,$900.00,,,,,,,,
81-22-01-03-000,1250 WAYNE AVE,"$83,500.00",1,1951,3,1,0,1204,YES,1204
81-22-01-04-000,1292 WAYNE AVE,"$41,000.00",1,1910,2,1,0,640,YES,320
81-23-01-02-000,1222 WAYNE AVE,"$15,300.00",,,,,,,,
81-25-01-02-000,1101 LONGSHORE LN,"$113,980.00",1,1900,3,1,0,1192,YES,1144
81-28-01-01-000,WAYNE AVE,"$1,490.00",,,,,,,,
