parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-61-03-02-000,634 MARIETTA ST,"$134,300.00",,,,,,,,
81-61-03-03-000,MARIETTA ST,$100.00,,,,,,,,
81-62-01-01-000,104 8TH ST,"$3,000.00",,,,,,,,
81-62-02-04-000,114 7TH ST S,"$8,800.00",,,,,,,,
81-60-01-12-000,EAST ST,$800.00,,,,,,,,
81-60-01-15-000,EAST ST,$900.00,,,,,,,,
81-60-01-22-000,42 CERAMIC AVE,"$46,100.00",1,1948,2,1,0,560,YES,280
81-60-02-09-000,1390 WHEELING AVE,"$38,000.00",2,1928,2,1,0,649,YES,144
81-60-02-10-000,1382 WHEELING AVE,"$45,900.00",2,1901,5,1,0,1720,YES,476
81-60-02-11-000,1380 WHEELING AVE,"$50,100.00",2,1912,2,1,0,1248,YES,744
