parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-64-03-11-000,301 MAIN ST,"$253,300.00",,,,,,,,
81-64-03-14-000,315 MAIN ST,"$20,100.00",,,,,,,,
81-64-03-19-000,19 N 4TH ST,"$25,100.00",,,,,,,,
81-64-03-21-000,35 4TH ST,"$154,300.00",,,,,,,,
81-64-03-23-000,47 N 4TH ST,"$152,500.00",,,,,,,,
81-65-01-11-000,5TH ST,"$24,300.00",,,,,,,,
81-65-01-16-000,5TH S ST,"$34,800.00",,,,,,,,
81-62-02-13-000,8 S ST,"$100,700.00",,,,,,,,
81-62-03-06-000,44 6TH ST,"$31,300.00",,,,,,,,
81-62-03-07-000,148 6TH ST,"$9,400.00",,,,,,,,
