parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-18-03-08-000,515 PUTNAM AVE,"$10,500.00",,,,,,,,
81-18-03-11-000,551 PUTNAM AVE,"$35,000.00",3,1901,6,3,0,3066,YES,511
81-18-03-15-000,548 WOODLAWN AVE,"$27,800.00",2,1901,3,2,0,1750,YES,854
81-18-03-19-000,522 WOODLAWN AVE,"$102,200.00",2,1901,0,3,0,2616,YES,1308
81-18-03-21-000,224 JEFFERSON ST,"$35,700.00",2,1901,4,1,0,1484,YES,892
81-19-02-02-000,304 WOODLAWN AVE,"$83,100.00",3,1805,4,2,1,4483,YES,1589
81-19-02-03-000,320 WOODLAWN AVE,"$86,300.00",2,1920,5,5,0,4083,YES,1843
81-19-02-10-000,227 ADAMS ST,"$62,000.00",2,1901,4,2,0,3250,YES,594
81-19-02-12-000,333 PUTNAM AVE,"$520,800.00",,,,,,,,
81-19-02-15-000,315 PUTNAM AVE,"$8,600.00",,,,,,,,
