parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-14-02-03-000,212 WELLER AVE,"$12,600.00",2,1901,3,1,0,1262,YES,616
81-14-02-06-000,224 WELLER AVE,"$12,500.00",2,1901,4,2,0,1232,YES,616
81-14-02-11-000,1057 MAYSVILLE AVE,"$6,700.00",,,,,,,,
81-16-02-21-000,827 PUTNAM AVE,"$4,400.00",,,,,,,,
81-17-01-03-000,231 MADISON ST,"$43,500.00",2,1901,3,1,1,1530,YES,765
81-17-02-06-000,609 WOODLAWN AVE,"$4,700.00",,,,,,,,
81-17-03-08-000,638 WOODLAWN AVE,"$2,100.00",,,,,,,,
81-17-03-19-000,PUTNAM AVE,"$1,800.00",,,,,,,,
81-17-03-20-000,659 PUTNAM AVE,"$99,600.00",2,1998,3,1,1,1920,YES,720
81-17-03-21-000,PUTNAM AVE,"$5,600.00",,,,,,,,
