parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-46-03-01-000,365 WHITE OAK AVE,"$48,200.00",1,1940,3,1,0,1216,YES,1216
81-46-03-02-000,365 WHITE OAK AVE,"$8,700.00",,,,,,,,
81-46-03-03-000,403 WHITE OAK AVE,"$41,400.00",1,1890,2,1,0,1232,YES,672
81-46-03-19-000,BOWMAN ST,$800.00,,,,,,,,
81-47-03-01-000,STONE AVE,$600.00,,,,,,,,
81-47-03-04-000,1377 STONE ST,"$35,000.00",1,1901,2,1,0,624,YES,624
81-47-03-07-000,1387 STONE ST,"$34,000.00",1,1920,2,1,0,1020,YES,430
81-47-03-08-000,1395 STONE ST,"$83,400.00",1,2001,3,2,0,1440,YES,1396
81-47-03-12-000,1399 STONE ST,"$28,100.00",1,1920,2,1,0,1164,YES,1004
81-47-04-05-000,ST CHARLES ST,$700.00,,,,,,,,
