parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-46-02-06-000,329 JORDAN AVE,"$35,200.00",1.5,1932,3,1,0,1440,YES,720
81-46-02-13-000,353 JORDAN AVE,"$63,400.00",2,1901,4,1,1,2038,YES,414
81-46-03-04-000,411 WHITE OAK AVE,"$36,100.00",1,1900,2,1,0,696,YES,348
81-46-03-05-000,411 WHITE OAK AVE,$600.00,,,,,,,,
81-46-03-09-000,1520 WHEELER RD,"$101,100.00",1,1997,4,2,0,2089,NO,0
81-46-03-11-000,1520 WHEELER RD,"$1,300.00",,,,,,,,
81-46-03-18-000,405 FREEBORN AVE,"$29,800.00",1,1870,2,1,0,744,YES,252
81-47-01-02-000,1470 WHEELER RD,"$28,300.00",1,1925,1,1,0,636,YES,636
81-47-01-03-000,1460 WHEELER RD,"$29,700.00",1,1923,2,1,0,640,YES,640
81-47-01-07-000,447 SCHWALLIE AVE,"$35,100.00",1,1901,2,1,0,768,YES,768
