parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-18-01-04-000,434 WOODLAWN AVE,"$53,100.00",,,,,,,,
81-18-02-03-000,445 WOODLAWN AVE,"$1,536,400.00",,,,,,,,
81-18-02-06-000,WOODLAWN,"$1,800.00",,,,,,,,
81-18-02-09-000,521 WOODLAWN AVE,"$87,500.00",2,1901,5,5,0,3976,YES,1970
81-14-02-14-000,1081 MAYSVILLE AVE,"$2,400.00",,,,,,,,
81-14-03-01-000,1025 WOODLAW AVE,"$524,700.00",,,,,,,,
81-14-03-10-000,1111 LAKE DR,"$36,200.00",1.75,1901,3,2,0,1651,YES,780
81-15-01-02-000,851 PUTNAM AVE,"$6,000.00",,,,,,,,
81-15-01-03-000,863 PUTNAM AVE,"$253,300.00",,,,,,,,
81-15-01-10-000,846 WOODLAWN AVE,"$1,600.00",,,,,,,,
