parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-13-01-15-000,1135 PARKER DR,"$21,500.00",1,1940,3,1,0,880,YES,760
81-13-02-04-000,1145 LAKE DR,"$29,400.00",2,1901,4,1,1,1630,YES,780
81-13-02-05-000,1151 LAKE DR,"$25,000.00",2,1901,3,2,0,1727,YES,416
81-13-02-07-000,1169 LAKE DR,"$31,410.00",2,1901,3,1,0,1720,YES,804
81-13-02-09-000,1181 LAKE DR,"$35,700.00",2,1901,3,1,0,1344,YES,672
81-12-02-01-000,1302 LAKE DR,"$16,200.00",2,1901,2,1,0,1262,YES,350
81-12-02-04-000,1324 LAKE DR,"$48,000.00",1,1901,2,1,0,1527,YES,708
81-12-02-06-000,1334 LAKE DR,"$28,100.00",1.75,1901,3,1,0,1456,YES,728
81-12-02-10-000,1335 JEWETT DR,"$27,600.00",2,1914,3,1,0,1568,YES,784
81-12-02-14-000,1309 JEWETT DR,"$22,600.00",1,1930,2,1,0,908,YES,908
