parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-60-02-33-000,50 SOUTHARD AVE,"$57,300.00",1.5,1920,3,1,0,1484,YES,900
81-60-02-34-000,58 SOUTHARD AVE,"$32,000.00",2,1920,3,1,0,1218,YES,609
81-59-02-06-000,1220 SWINGLE ST,"$24,500.00",1,1920,3,0,1,1106,YES,1106
81-59-02-07-000,1214 SWINGLE ST,"$9,330.00",1,1895,2,1,0,784,YES,588
81-59-03-09-000,17 GLESSNER AVE,"$17,400.00",1,1900,2,1,1,724,YES,724
81-59-03-13-000,1204 WHEELING AVE,"$5,300.00",1,1901,1,1,1,800,YES,800
81-59-03-15-000,1182 WHEELING AVE,"$30,600.00",2,1920,5,2,0,2159,YES,416
81-59-03-16-000,1172 WHEELING AVE,"$1,700.00",,,,,,,,
81-59-03-18-000,WHEELING AVE,"$1,200.00",,,,,,,,
81-59-03-19-000,1162 WHEELING AVE,"$19,700.00",1,1910,2,1,1,896,YES,408
