parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-17-03-22-000,PUTNAM AVE,"$5,900.00",,,,,,,,
81-17-03-24-000,625 PUTNAM AVE,"$5,500.00",,,,,,,,
81-17-03-25-000,625 PUTNAM AVE,"$6,400.00",,,,,,,,
81-17-04-02-000,236 VAN BUREN ST,"$9,600.00",2,1901,4,2,0,1836,YES,424
81-13-01-04-000,1202 JEWETT DR,"$8,700.00",,,,,,,,
81-13-01-06-000,1226 JEWETT DR,"$28,500.00",2,1902,3,2,0,1720,YES,428
81-13-01-07-000,1304 JEWETT DR,"$38,500.00",2,1901,4,2,0,2038,YES,509
81-13-01-14-000,1141 PARKER DR,"$22,500.00",1,1901,3,1,0,968,YES,800
81-13-02-06-000,1157 LAKE DR,"$46,800.00",2,1901,4,1,0,1858,YES,439
81-13-02-10-000,1205 LAKE DR,"$19,400.00",2,1901,4,2,0,1080,YES,810
