parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-19-02-11-000,223 ADAMS ST,"$27,100.00",2,1901,3,1,0,1144,YES,572
81-19-02-17-000,307 PUTNAM AVE,"$23,000.00",2,1901,4,2,0,3354,YES,1673
81-19-03-06-000,305 WOODLAWN AVE,"$107,100.00",2,1901,3,3,1,3210,YES,1533
81-19-03-12-000,339 WOODLAWN AVE,"$58,600.00",2,1901,6,1,1,3388,YES,1659
81-19-03-16-000,361 WOODLAWN AVE,"$69,300.00",2,1830,5,2,0,2336,YES,1080
81-19-03-17-000,ADAMS ST,"$3,500.00",,,,,,,,
81-19-05-04-000,404 WOODLAWN AVE,"$58,200.00",2,1830,6,3,0,3086,YES,761
81-20-01-01-000,112 MUSKINGUM AVE,"$175,200.00",,,,,,,,
81-20-02-02-001,135 MUSKINGUM AVE,"$122,700.00",,,,,,,,
81-20-02-03-000,135 MUSKINGUM AVE,"$7,900.00",,,,,,,,
