parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-03-01-23-000,MUSKINGUM AVE,"$2,700.00",,,,,,,,
81-03-01-25-000,MUSKINGUM AVE,"$1,400.00",,,,,,,,
81-03-02-04-000,616 PUTNAM AVE,"$2,100.00",,,,,,,,
81-03-02-05-000,618 PUTNAM AVE,"$2,000.00",,,,,,,,
81-03-02-07-000,630 PUTNAM AVE,"$27,200.00",,,,,,,,
81-03-02-08-000,636 PUTNAM AVE,"$20,300.00",1,1901,2,1,0,800,YES,800
81-03-02-20-000,651 MOXAHALA AVE,"$17,000.00",2,1901,4,1,0,2072,YES,393
81-03-02-23-000,639 MOXAHALA AVE,"$25,800.00",2,1901,4,1,0,1610,YES,374
81-04-01-08-000,716 MOXAHALA AVE,"$16,500.00",,,,,,,,
81-04-01-13-000,725 MUSKINGUM AVE,"$8,400.00",2,1901,4,1,0,1574,YES,256
