parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-41-01-01-000,568 WAYNE AVE,"$28,200.00",1,1901,3,1,0,993,YES,174
81-42-01-01-000,DILLON RD,"$1,100.00",,,,,,,,
81-42-01-11-000,1158 SELSAM ST,"$87,500.00",1.5,1901,3,1,0,2008,YES,448
81-42-01-12-000,1144 SELSAM AVE,"$1,000.00",,,,,,,,
81-43-01-10-000,484 HAESSLER AVE,"$49,300.00",1,1901,3,2,0,1440,YES,840
81-43-02-01-000,505 HAESSLER AVE,"$41,900.00",1,1928,3,1,0,728,YES,728
81-43-02-04-000,541 HAESSLER AVE,"$51,400.00",1,1930,2,1,0,988,YES,598
81-43-03-05-000,1390 SUNRISE AVE,"$3,200.00",,,,,,,,
81-43-03-06-000,1401 COSGRAVE AVE,"$67,400.00",1,1901,3,2,0,1661,YES,1136
81-43-03-10-000,SUNRISE AVE,"$1,800.00",,,,,,,,
