parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-44-05-04-000,627 DOWNARD RD,"$1,700.00",,,,,,,,
81-44-05-05-000,611 DOWNARD RD,"$1,400.00",,,,,,,,
81-44-05-07-000,603 DOWNARD RD,"$52,400.00",2,1880,3,1,0,1800,YES,450
81-44-05-08-000,1612 BENNETT AVE,"$6,600.00",,,,,,,,
81-44-05-12-000,BENNETT AVE,$300.00,,,,,,,,
81-44-05-17-000,BENNETT AVE,$200.00,,,,,,,,
81-45-01-01-000,1636 SHARON AVE,"$37,900.00",1,1885,2,1,0,882,YES,882
81-47-01-09-000,435 SCHWALLIE AVE,"$51,500.00",1,1920,2,1,0,1012,YES,1012
81-47-01-13-000,401 BONIFIELD CT,"$6,653,600.00",,,,,,,,
81-47-02-04-000,WHEELER RD,"$2,400.00",,,,,,,,
