parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-19-01-02-000,MUSKINGUM AVE,"$18,500.00",,,,,,,,
81-19-02-05-000,328 WOODLAWN AVE,"$60,500.00",2,1820,5,4,0,2498,YES,1249
81-20-02-04-000,HAZLETT CT,"$1,700.00",,,,,,,,
81-20-02-14-000,329 -331 WASHINGTON ST,"$38,100.00",2,1901,4,2,0,3136,YES,1728
81-20-02-15-000,325 WASHINGTON ST,"$2,000.00",,,,,,,,
81-20-02-23-000,209 MUSKINGUM AVE,"$23,600.00",2,1808,6,3,0,3800,YES,950
81-20-02-26-000,216 HAZLETT CT,"$258,200.00",,,,,,,,
81-21-01-13-000,MOXAHALA AVE,"$20,000.00",,,,,,,,
81-21-01-14-000,MOXAHALA AVE,"$25,500.00",,,,,,,,
81-21-01-15-000,HOUSE CT,"$4,079,900.00",,,,,,,,
