parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-03-01-19-000,MUSKINGUM AVE,"$2,700.00",,,,,,,,
81-03-01-20-000,MUSKINGUM AVE,"$5,500.00",,,,,,,,
81-03-01-26-000,MUSKINGUM AVE,"$4,100.00",,,,,,,,
81-03-01-28-000,MUSKINGUM AVE,"$2,200.00",,,,,,,,
81-03-02-03-000,612 PUTNAM AVE,"$2,300.00",,,,,,,,
81-03-02-09-000,640 PUTNAM AVE,"$14,800.00",1,1901,2,1,0,759,YES,759
81-03-02-10-000,644 PUTNAM AVE,"$32,400.00",2,1901,4,2,0,1698,YES,424
81-03-02-12-000,652 PUTNAM AVE,"$19,900.00",1,1901,2,1,0,1085,YES,542
81-03-02-14-000,662 PUTNAM AVE,"$21,000.00",,,,,,,,
81-03-02-17-000,119 VAN BUREN ST,"$2,000.00",,,,,,,,
