parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-20-02-09-000,231 HAZLETT CT,"$15,200.00",2,1901,2,0,1,1388,YES,256
81-20-02-17-000,WASHINGTON ST,"$2,500.00",,,,,,,,
81-20-02-19-001,PUTNAM AVE,"$29,100.00",,,,,,,,
81-21-01-03-900,NOT ON FILE,"$24,600.00",,,,,,,,
81-21-01-05-000,1730 MOXAHALA AVE,"$4,273,300.00",,,,,,,,
81-21-01-09-000,MOXAHALA AVE & RT 555,"$10,300.00",,,,,,,,
81-34-01-05-000,WAYNE AVE,"$1,400.00",,,,,,,,
81-34-02-03-000,DILLON RD,"$1,410.00",,,,,,,,
81-34-02-05-000,826 WAYNE AVE,"$24,000.00",1.5,1846,3,1,0,2113,YES,476
81-35-01-02-001,1140 SELSAM ST,"$69,600.00",1,1995,3,2,0,1352,YES,1352
