parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-51-01-06-000,228 STILLWELL ST,"$22,300.00",,,,,,,,
81-51-01-09-000,HUGHES ST,$800.00,,,,,,,,
81-51-01-12-000,SPURK ST,$500.00,,,,,,,,
81-51-02-06-000,216 WAYNE AVE,"$2,400.00",,,,,,,,
81-42-01-10-000,629 CALVERT ST,"$43,700.00",1,1948,2,1,0,916,YES,1112
81-43-01-06-000,1345 SUNRISE AVE,"$54,500.00",1,1945,1,1,0,920,YES,1060
81-43-02-06-000,579 HAESSLER AVE,"$33,500.00",1,1925,1,1,0,1028,YES,1028
81-43-03-01-000,1452 SUNRISE AVE,"$51,720.00",1,1914,2,1,0,888,YES,728
81-43-03-07-000,1332 SUNRISE AVE,"$11,400.00",,,,,,,,
81-43-03-09-000,COSGRAVE AVE,"$1,800.00",,,,,,,,
