parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
17-07-01-10-002,1250 FAIRVIEW RD,"$66,100.00",,,,,,,,
17-19-01-04-000,3870 FRAZEYSBURG RD,"$113,230.00",2,1901,3,1,1,1984,YES,992
17-19-01-04-003,3721 COLONY HILL DR,$0.00,,,,,,,,
17-19-01-06-550,3739 LEASURE CT S,"$127,800.00",2,1998,3,2,1,1500,NO,0
17-19-01-07-550,3733 LEASURE CT S,"$116,200.00",1,1998,2,2,0,1100,NO,0
17-19-01-10-550,3725 LEASURE CT,"$127,800.00",2,1998,3,2,1,1500,NO,0
17-19-01-12-550,3717 LEASURE CT S,"$131,500.00",1,1998,3,2,0,1450,NO,0
17-19-01-16-553,3709 LEASURE CT S,"$135,300.00",1,1999,3,2,0,1450,NO,0
17-19-01-19-560,3745 LEASURE CT,"$116,200.00",1,1999,2,2,0,1100,NO,0
17-19-01-22-555,3734 LEASURE CT S,"$127,800.00",2,2000,3,2,1,1500,NO,0
