parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-04-02-32-000,737 MOXAHALA AVE,"$2,100.00",,,,,,,,
81-04-02-35-000,719 MOXAHALA AVE,"$31,400.00",2,1901,3,1,0,1362,YES,263
81-05-01-02-000,850 MUSKINGUM AVE,"$121,500.00",,,,,,,,
81-05-02-01-000,68 MOXAHALA AVE,"$28,500.00",,,,,,,,
81-05-02-05-000,826 MOXAHALA AVE,"$26,700.00",2,1901,3,1,0,1618,YES,1042
81-05-02-12-000,860 MOXAHALA AVE,"$3,770.00",,,,,,,,
81-05-02-17-000,850 MUSKINGUM AVE,"$95,600.00",,,,,,,,
81-05-02-19-000,MUSKINGUM AVE,"$8,800.00",,,,,,,,
81-06-01-26-000,937 MUSKINGUM AVE,"$3,000.00",,,,,,,,
81-06-01-31-000,913 MUSKINGUM AVE,"$1,300.00",,,,,,,,
