parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-16-02-14-000,830 WOODLAWN AVE,"$20,000.00",2,1901,4,2,0,2014,YES,614
81-13-02-12-000,1215 LAKE DR,"$43,100.00",2,1901,2,1,0,1238,YES,471
81-13-03-02-000,1234 LAKE DR,"$30,300.00",2,1940,3,1,0,1344,YES,672
81-13-03-06-000,1245 JEWETT DR,"$52,800.00",2,1928,6,2,0,4320,YES,1440
81-13-03-07-000,1233 JEWETT DR,"$43,000.00",1.75,1901,3,1,0,1680,YES,840
81-14-01-08-000,1023 PUTNAM AVE,"$2,300.00",,,,,,,,
81-14-01-10-000,1070 MAYSVILLE AVE,"$21,800.00",2,1901,3,1,0,1376,YES,344
81-14-01-15-000,1056 MAYSVILLE AVE,"$5,500.00",1,1901,1,1,0,672,YES,336
81-14-01-17-000,1044 MAYSVILLE AVE,"$6,400.00",1,1901,2,1,0,832,YES,416
81-14-02-02-000,208 WELLER AVE,"$4,130.00",,,,,,,,
