parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-64-01-27-000,27 N 6TH ST,"$26,000.00",,,,,,,,
81-64-01-29-000,49 6TH ST N,"$132,400.00",,,,,,,,
81-64-02-02-000,430 MARKET ST,"$9,500.00",,,,,,,,
81-64-02-03-000,424 MARKET ST,"$231,600.00",,,,,,,,
81-64-02-07-000,36 N 4TH ST,"$318,000.00",,,,,,,,
81-64-02-10-000,0 MAIN ST,"$33,400.00",,,,,,,,
81-64-02-19-000,421 MAIN ST,"$35,900.00",,,,,,,,
81-64-02-21-000,5TH ST N,"$62,300.00",,,,,,,,
81-64-02-22-000,47 N 5TH ST,"$17,600.00",,,,,,,,
81-64-03-08-000,34 N 3RD ST,"$105,900.00",,,,,,,,
