parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-43-01-07-000,1319 SUNRISE AVE,"$41,500.00",1,1945,2,1,0,780,YES,780
81-43-02-02-000,529 HAESSLER AVE,"$2,200.00",,,,,,,,
81-43-03-08-000,COSGRAVE AVE,"$1,800.00",,,,,,,,
81-43-03-11-000,1332 SUNRISE AVE,"$44,500.00",1,1930,3,1,0,1290,YES,314
81-43-03-13-000,580 HAESSLER AVE,"$31,000.00",1,1932,2,1,0,792,YES,240
81-44-01-01-000,529 DOWNARD RD,"$1,700.00",,,,,,,,
81-44-01-03-000,523 DOWNARD RD,"$37,200.00",1,1920,2,1,0,810,NO,0
81-44-01-10-000,561 DOWNARD RD,$500.00,,,,,,,,
81-44-02-01-000,509 DOWNARD RD,"$49,540.00",2,1900,2,1,0,1291,YES,256
81-44-02-04-000,1511 BENNETT AVE,"$42,600.00",1,2005,2,1,0,768,NO,0
