parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-60-03-21-000,74 GREEN ST,"$38,100.00",1,1935,2,1,0,812,YES,812
81-60-03-22-000,71 SOUTHARD AVE,"$62,900.00",1,1928,2,1,0,1104,YES,442
81-60-03-24-000,61 SOUTHARD AVE,"$47,000.00",1,1928,2,1,0,884,YES,884
81-60-03-27-000,45 SOUTHARD AVE,"$62,700.00",2,1928,4,2,1,1528,YES,704
81-60-03-33-000,13 SOUTHARD AVE,"$43,300.00",1,1918,2,1,0,864,YES,864
81-61-01-09-000,216 8TH ST,"$1,700.00",,,,,,,,
81-61-01-10-000,8TH ST,"$1,800.00",,,,,,,,
81-61-01-12-000,215 WAYNE AVE,$900.00,,,,,,,,
81-61-02-03-000,718 MARIETTA ST,"$42,800.00",,,,,,,,
81-61-02-05-000,702 MARIETTA ST,"$27,000.00",,,,,,,,
