parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-27-01-02-000,1128 WAYNE AVE,"$287,600.00",,,,,,,,
81-28-01-04-000,1004 WAYNE AVE,"$57,000.00",2,1901,2,1,0,1224,YES,480
81-28-01-05-000,998 WAYNE AVE,"$66,200.00",2,1901,3,1,1,1778,NO,0
81-31-01-02-001,1067 ARCADIA LN,"$72,800.00",1,1998,3,1,0,1104,YES,552
81-34-01-03-000,728 WAYNE AVE,"$119,300.00",2.5,1870,4,1,0,2001,YES,976
81-34-02-04-000,820 WAYNE AVE,$350.00,,,,,,,,
81-34-03-02-000,WAYNE AVE,"$8,600.00",,,,,,,,
81-35-01-04-000,FISHER RD,"$13,800.00",,,,,,,,
81-35-01-05-000,1045 DILLON RD,"$64,800.00",1,1901,2,1,0,976,YES,352
81-35-01-12-000,DILLON RD,$300.00,,,,,,,,
