parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-53-01-09-700,MOORE ST,"$2,200.00",,,,,,,,
81-53-01-12-000,1253 SHARON AVE,"$57,200.00",2,1906,3,1,0,1480,YES,304
81-52-04-31-000,SHARON AVE,$800.00,,,,,,,,
81-52-05-03-000,1114 SHARON AVE,"$23,900.00",2,1860,3,1,0,1408,NO,0
81-52-05-05-000,1102 SHARON AVE,"$43,500.00",2,1901,3,1,0,1320,YES,480
81-52-05-07-000,SHARON AVE,$500.00,,,,,,,,
81-52-05-09-000,1090 SHARON AVE,$900.00,,,,,,,,
81-52-05-10-000,1086 SHARON AVE,$0.00,,,,,,,,
81-52-05-11-000,1082 SHARON AVE,"$43,700.00",2,1901,2,1,0,1340,YES,830
81-52-05-24-000,1022 SHARON AVE,"$2,200.00",,,,,,,,
