parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
17-27-01-40-000,3636 MAPLE AVE,"$1,212,400.00",,,,,,,,
17-27-02-06-000,3657 MAPLE AVE,"$1,275,900.00",,,,,,,,
17-27-02-19-000,3735 FRAZEYSBURG RD,"$1,300.00",,,,,,,,
17-34-02-29-000,MILITARY RD,"$25,600.00",,,,,,,,
17-34-02-29-001,3139 SANDHURST DR,"$4,797,000.00",,,,,,,,
17-54-04-03-006,NEWARK RD,"$180,000.00",,,,,,,,
17-75-05-01-001,2361 OLD FARM CT,"$309,800.00",1,2002,2,2,1,2536,YES,2518
17-75-05-04-000,OLD FARM CT,"$12,400.00",,,,,,,,
17-75-05-06-000,2337 OLD FARM CT,"$271,700.00",1,1998,2,3,1,2088,YES,2088
17-75-05-12-000,2357 OAK MEADOW LN,"$274,400.00",1,1997,3,3,1,2280,YES,2280
