parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-20-03-03-000,261 MUSKINGUM AVE,"$20,800.00",2,1901,12,7,0,5256,YES,2510
81-20-03-06-000,WOODLAWN AVE,$700.00,,,,,,,,
81-21-01-03-000,1639 MOXAHALA AVE,"$6,300.00",,,,,,,,
81-21-01-10-000,MOXAHALA AVE,"$30,900.00",,,,,,,,
81-21-01-11-000,MOXAHALA AVE,,,,,,,,,
81-21-02-01-000,1639 MOXAHALA AVE,"$683,300.00",,,,,,,,
81-21-02-02-000,MARKET ST,$100.00,,,,,,,,
81-22-01-01-000,1246 WAYNE AVE,"$53,400.00",1.5,1925,3,1,0,1120,YES,560
81-23-01-03-000,1490 S RIVER RD,"$27,300.00",,,,,,,,
81-27-01-01-000,1124 WAYNE AVE,"$74,000.00",,,,,,,,
