parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-63-03-25-000,57 7TH ST S,"$48,500.00",2,1890,3,3,1,3884,YES,1942
81-63-03-28-000,47 S 7TH ST,"$35,500.00",2,1890,4,1,1,2376,YES,1164
81-63-03-33-000,7TH ST S,"$40,400.00",,,,,,,,
81-63-03-38-000,7TH ST,"$1,200.00",,,,,,,,
81-63-03-39-000,15 7TH ST S,"$3,800.00",,,,,,,,
81-63-03-43-000,620 MAIN ST,"$9,400.00",,,,,,,,
81-63-04-06-000,702 MAIN ST,"$12,800.00",,,,,,,,
81-63-04-16-000,S 8TH ST,"$11,400.00",,,,,,,,
81-60-03-15-000,42 GREEN ST,"$37,200.00",2,1900,2,1,0,1051,YES,196
81-60-03-17-000,50 GREEN ST,"$1,200.00",,,,,,,,
