parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-19-02-09-000,233 ADAMS ST,"$69,900.00",2,1901,6,2,0,3146,YES,786
81-19-02-13-000,329 PUTNAM AVE,"$162,100.00",3,1901,15,9,0,9690,YES,3230
81-19-03-05-000,TANNER AVE,"$13,100.00",,,,,,,,
81-19-03-07-000,313 WOODLAWN AVE,"$78,800.00",2,1920,3,2,0,2538,YES,1088
81-19-03-08-000,319 WOODLAWN AVE,"$27,600.00",2,1901,6,2,0,2460,YES,1230
81-19-03-10-000,331 WOODLAWN AVE,"$44,630.00",2,1820,8,6,0,4128,YES,1008
81-19-04-01-000,405 WOODLAWN AVE,"$44,900.00",2,1901,6,3,0,3562,YES,1781
81-19-04-03-000,328 ADAMS ST,"$23,100.00",2,1901,3,1,0,1456,YES,364
81-19-05-02-000,218 ADAMS ST,"$151,300.00",,,,,,,,
81-20-01-03-001,158 MUSKINGUM AVE,"$165,500.00",1,2003,2,2,0,1938,NO,0
