parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-52-01-07-000,1078 MARIETTA ST,"$1,600.00",,,,,,,,
81-52-01-11-000,MARIETTA ST,$800.00,,,,,,,,
81-52-01-13-000,1048 MARIETTA ST,$900.00,,,,,,,,
81-52-01-16-000,1040 MARIETTA ST,$900.00,,,,,,,,
81-52-01-21-000,1029 GRANT ST,$500.00,,,,,,,,
81-52-01-27-000,1057 GRANT ST,$700.00,,,,,,,,
81-52-01-28-000,GRANT ST,$800.00,,,,,,,,
81-52-01-30-000,GRANT ST,$800.00,,,,,,,,
81-52-01-36-000,GRANT ST,$400.00,,,,,,,,
81-52-02-02-000,1018 MARIETTA ST,"$47,400.00",,,,,,,,
