parcelNumber,address,appraisedValue,numStories,yearBuilt,numBedrooms,numFullBaths,numHalfBaths,livingArea,basement,basementArea
81-09-04-03-000,WOODLAWN AVE,"$4,200.00",,,,,,,,
81-09-04-06-000,WOODLAWN AVE,"$4,100.00",,,,,,,,
81-09-04-10-000,233 GARFIELD ST,"$78,100.00",,,,,,,,
81-09-04-11-000,GARFIELD ST,"$2,200.00",,,,,,,,
81-09-04-12-000,1445 PUTNAM AVE,"$22,300.00",2,1901,2,1,0,1024,YES,256
81-09-04-15-000,1435 PUTNAM AVE,"$16,800.00",2,1901,3,1,0,1580,YES,1048
81-09-04-16-000,1429 PUTNAM AVE,"$14,100.00",2,1901,2,1,0,1100,YES,224
81-09-04-19-000,1419 PUTNAM AVE,"$24,300.00",2,1901,2,1,0,1092,YES,420
81-09-04-20-000,1417 PUTNAM AVE,"$9,600.00",2,1901,2,1,0,1082,YES,434
81-09-04-21-000,1411 PUTNAM AVE,"$37,800.00",2,1901,2,1,0,1430,YES,427
